ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
61.158.163.203;80;Transparent;false;"China";16097;56;"Jan 22 17:34:35"
50.16.182.251;8080;Anonymous;false;"United States";563;50;"Jan 22 17:34:30"
5.63.155.184;3128;Distorting;false;"Russian Federation";1279;55;"Jan 22 17:34:29"
5.135.242.225;8080;Transparent;false;"France";283;92;"Jan 22 17:34:28"
49.0.124.46;8000;Transparent;false;"Thailand";766;93;"Jan 22 17:34:26"
49.0.96.1;8000;Transparent;false;"Thailand";718;96;"Jan 22 17:34:26"
61.156.217.122;8000;Transparent;false;"China";2063;91;"Jan 22 17:34:18"
60.28.219.218;80;Transparent;false;"China";25576;77;"Jan 22 17:34:14"
82.200.254.250;9090;Transparent;false;"Kazakhstan";10246;85;"Jan 22 17:34:11"
82.200.253.66;9090;Transparent;false;"Kazakhstan";1680;85;"Jan 22 17:34:01"
82.200.236.66;9090;Transparent;false;"Kazakhstan";1790;85;"Jan 22 17:33:59"
82.147.215.186;8082;Transparent;false;"Saudi Arabia";2263;85;"Jan 22 17:33:56"
222.92.112.66;1080;Socks4;true;"China";30;98;"Jan 22 17:33:30"
46.102.246.193;3128;Transparent;false;"Romania";285;83;"Jan 22 17:32:52"
79.143.86.19;8000;Transparent;false;"Great Britain (UK)";313;75;"Jan 22 17:32:34"
41.216.0.106;1080;Socks5;true;"Zambia";30;96;"Jan 22 17:32:06"
59.125.100.113;3128;Transparent;false;"Taiwan";8968;93;"Jan 22 17:31:46"
81.169.173.88;3128;Transparent;false;"Germany";2160;78;"Jan 22 17:31:30"
78.134.255.43;8080;Transparent;false;"Croatia (Hrvatska)";4637;80;"Jan 22 17:31:18"
58.251.57.78;8001;Anonymous;false;"China";1498;97;"Jan 22 17:31:15"
77.223.208.230;8080;Transparent;false;"Poland";1054;87;"Jan 22 17:30:38"
42.62.5.98;36201;Distorting;false;"China";1522;99;"Jan 22 17:30:07"
54.232.125.24;3128;Transparent;false;"United States";1782;64;"Jan 22 17:30:07"
37.98.224.237;80;Transparent;false;"Iraq";14541;71;"Jan 22 17:28:26"
27.50.19.101;3128;Transparent;false;"Indonesia";2277;91;"Jan 22 17:28:10"
198.143.188.43;1080;Socks4;true;"United States";30;89;"Jan 22 17:28:02"
219.130.39.9;3128;Transparent;false;"China";2641;96;"Jan 22 17:27:09"
221.6.15.157;82;Anonymous;false;"China";1247;53;"Jan 22 17:27:00"
221.120.210.227;8080;Transparent;false;"Pakistan";22969;88;"Jan 22 17:26:58"
219.234.82.82;20961;Distorting;false;"China";1365;94;"Jan 22 17:25:48"
219.92.4.186;3128;Transparent;false;"Malaysia";10158;95;"Jan 22 17:25:41"
218.22.71.214;8080;Transparent;false;"China";1999;69;"Jan 22 17:25:27"
41.78.26.161;8080;Transparent;false;"Kenya";4217;88;"Jan 22 17:25:19"
41.78.103.42;8080;Transparent;false;"Nigeria";13101;76;"Jan 22 17:25:15"
200.215.14.60;1080;Socks4;true;"Brazil";30;98;"Jan 22 17:25:08"
41.215.3.171;80;Transparent;false;"Kenya";4854;89;"Jan 22 17:24:55"
41.191.27.17;8080;Transparent;false;"Egypt";1298;75;"Jan 22 17:24:49"
218.210.199.254;80;Anonymous;false;"Taiwan";3889;22;"Jan 22 17:24:37"
203.176.183.198;8080;Transparent;false;"Indonesia";5334;81;"Jan 22 17:24:23"
218.107.193.59;80;Transparent;false;"China";38257;85;"Jan 22 17:24:17"
202.77.125.152;8080;Transparent;false;"Indonesia";1896;82;"Jan 22 17:24:16"
219.234.82.85;28758;Distorting;false;"China";3384;96;"Jan 22 17:23:52"
218.102.39.154;8080;Transparent;false;"Hong Kong";6774;74;"Jan 22 17:23:38"
